filename, language, Dart, comment, blank, total
/Users/fatboy/Documents/flutter projects/e_commerce/lib/add2cart.dart, Dart, 30, 0, 4, 34
/Users/fatboy/Documents/flutter projects/e_commerce/lib/addNotification.dart, Dart, 25, 0, 2, 27
/Users/fatboy/Documents/flutter projects/e_commerce/lib/addProduct.dart, Dart, 454, 0, 17, 471
/Users/fatboy/Documents/flutter projects/e_commerce/lib/descpage.dart, Dart, 1253, 0, 34, 1287
/Users/fatboy/Documents/flutter projects/e_commerce/lib/getuserdata.dart, Dart, 417, 0, 19, 436
/Users/fatboy/Documents/flutter projects/e_commerce/lib/login.dart, Dart, 243, 0, 16, 259
/Users/fatboy/Documents/flutter projects/e_commerce/lib/main.dart, Dart, 67, 0, 11, 78
/Users/fatboy/Documents/flutter projects/e_commerce/lib/myNotifications.dart, Dart, 178, 0, 13, 191
/Users/fatboy/Documents/flutter projects/e_commerce/lib/myaccount.dart, Dart, 581, 0, 18, 599
/Users/fatboy/Documents/flutter projects/e_commerce/lib/mycart.dart, Dart, 312, 0, 13, 325
/Users/fatboy/Documents/flutter projects/e_commerce/lib/notifdesc.dart, Dart, 99, 0, 8, 107
/Users/fatboy/Documents/flutter projects/e_commerce/lib/products.dart, Dart, 774, 1, 34, 809
/Users/fatboy/Documents/flutter projects/e_commerce/lib/register.dart, Dart, 283, 0, 11, 294
/Users/fatboy/Documents/flutter projects/e_commerce/lib/scanToSearch.dart, Dart, 241, 0, 10, 251
Total, -, 4957, 1, 210, 5168
